Drone_ID,Elapsed_ms,Pitch,Roll,Yaw,Velocity_ms,Altitude_m,GPR_Score,Deviation_Flag,Detected_Mine_ID,Camera_Frame_URL,Pos_X,Pos_Y,Pos_Z
drone_2,900,-0.0119,0.0101,-0.0924,5.4131,37.46,0.9794,0,80,http://internal-drone-net/cam/drone_2/frame_00000900.jpg,105.1269,280.4958,37.46
drone_1,1000,-0.0274,0.0053,-0.1133,4.7245,27.97,0.9615,0,80,http://internal-drone-net/cam/drone_1/frame_00001000.jpg,104.5136,280.549,27.97
drone_2,1000,0.0132,-0.0175,-0.1188,5.1033,24.5,0.973,0,80,http://internal-drone-net/cam/drone_2/frame_00001000.jpg,105.6255,280.4582,24.5
drone_1,1100,0.0071,-0.0402,-0.0852,4.9787,24.41,0.9692,0,80,http://internal-drone-net/cam/drone_1/frame_00001100.jpg,105.0089,280.4806,24.41
drone_2,1100,0.027,0.0212,-0.1108,4.9871,31.37,0.9951,0,80,http://internal-drone-net/cam/drone_2/frame_00001100.jpg,106.1241,280.4206,31.37
drone_1,1200,-0.0027,0.0067,-0.1097,5.023,28.62,0.9833,0,80,http://internal-drone-net/cam/drone_1/frame_00001200.jpg,105.5042,280.4121,28.62
drone_2,1200,-0.0061,0.019,0.2361,4.9671,36.83,0.9769,0,80,http://internal-drone-net/cam/drone_2/frame_00001200.jpg,106.7256,280.5051,36.83
drone_1,1300,-0.0472,-0.0473,0.1566,5.1591,35.62,0.9864,0,80,http://internal-drone-net/cam/drone_1/frame_00001300.jpg,106.1098,280.4591,35.62
drone_2,1300,-0.0135,-0.0085,0.2168,4.9033,36.69,0.9932,0,80,http://internal-drone-net/cam/drone_2/frame_00001300.jpg,107.217,280.5978,36.69
drone_1,1400,-0.0003,-0.0117,0.1105,4.9898,33.59,0.9842,0,80,http://internal-drone-net/cam/drone_1/frame_00001400.jpg,106.6059,280.5212,33.59
drone_2,1400,-0.033,-0.0385,0.1849,5.087,28.21,0.9973,0,80,http://internal-drone-net/cam/drone_2/frame_00001400.jpg,107.7083,280.6906,28.21
drone_1,1500,0.0194,-0.0089,0.1104,5.3904,31.22,0.9995,0,80,http://internal-drone-net/cam/drone_1/frame_00001500.jpg,107.102,280.5833,31.22
drone_2,1500,0.0186,-0.0014,0.1674,4.9244,27.74,0.9741,0,80,http://internal-drone-net/cam/drone_2/frame_00001500.jpg,108.1996,280.7833,27.74
drone_1,1600,-0.0205,-0.0206,0.1385,4.9546,38.72,0.9758,0,80,http://internal-drone-net/cam/drone_1/frame_00001600.jpg,107.5982,280.6454,38.72
drone_2,1600,-0.0118,0.0306,0.2035,4.9404,32.35,0.9818,0,80,http://internal-drone-net/cam/drone_2/frame_00001600.jpg,108.6909,280.8761,32.35
drone_1,1700,0.0159,0.0121,0.0983,4.9934,34.44,0.9898,0,80,http://internal-drone-net/cam/drone_1/frame_00001700.jpg,108.0943,280.7074,34.44
drone_2,1700,0.0025,0.0187,0.4395,5.0457,33.19,0.9791,0,80,http://internal-drone-net/cam/drone_2/frame_00001700.jpg,109.2501,281.1133,33.19
drone_1,1800,0.0149,0.0055,0.3479,4.7904,33.06,0.9992,0,80,http://internal-drone-net/cam/drone_1/frame_00001800.jpg,108.6671,280.9095,33.06
drone_2,1800,-0.0225,0.0081,0.4076,4.9678,36.75,0.9666,0,80,http://internal-drone-net/cam/drone_2/frame_00001800.jpg,109.7007,281.3301,36.75
drone_1,1900,0.0334,-0.0014,0.3636,4.9811,35.89,0.9808,0,80,http://internal-drone-net/cam/drone_1/frame_00001900.jpg,109.1303,281.0979,35.89
drone_2,1900,-0.0142,-0.0141,0.4808,4.8718,28.4,0.9634,0,80,http://internal-drone-net/cam/drone_2/frame_00001900.jpg,110.1512,281.5468,28.4
drone_1,2000,-0.0194,0.0071,0.3158,5.1437,28.46,0.9966,0,80,http://internal-drone-net/cam/drone_1/frame_00002000.jpg,109.5934,281.2863,28.46
drone_2,2000,0.0163,0.0024,0.4275,5.0261,28.7,0.9613,0,80,http://internal-drone-net/cam/drone_2/frame_00002000.jpg,110.6018,281.7636,28.7
drone_1,2100,0.0021,0.0136,0.4262,5.0224,37.33,0.9829,0,80,http://internal-drone-net/cam/drone_1/frame_00002100.jpg,110.0566,281.4747,37.33
drone_2,2100,-0.032,0.0035,0.4888,4.9568,37.86,0.9944,0,80,http://internal-drone-net/cam/drone_2/frame_00002100.jpg,111.0524,281.9804,37.86
drone_1,2200,-0.0192,-0.0252,0.3229,5.0192,38.25,0.9695,0,80,http://internal-drone-net/cam/drone_1/frame_00002200.jpg,110.5198,281.6631,38.25
drone_2,2200,-0.006,0.0124,0.6776,5.2418,29.83,0.9834,0,80,http://internal-drone-net/cam/drone_2/frame_00002200.jpg,111.5311,282.3543,29.83
drone_1,2300,-0.02,-0.0134,0.6299,5.1017,30.3,0.9795,0,80,http://internal-drone-net/cam/drone_1/frame_00002300.jpg,111.0208,282.0065,30.3
drone_2,2300,-0.014,0.0001,0.7148,5.2723,38.02,0.9721,0,80,http://internal-drone-net/cam/drone_2/frame_00002300.jpg,111.9102,282.6802,38.02
drone_1,2400,0.0318,-0.0219,0.6449,5.3388,38.32,0.9764,0,80,http://internal-drone-net/cam/drone_1/frame_00002400.jpg,111.4194,282.3084,38.32
drone_2,2400,-0.0065,0.0338,0.7364,4.8878,25.91,0.9675,0,80,http://internal-drone-net/cam/drone_2/frame_00002400.jpg,112.2894,283.0062,25.91
drone_1,2500,-0.0216,0.0174,0.6415,4.9815,37.01,0.9714,0,80,http://internal-drone-net/cam/drone_1/frame_00002500.jpg,111.818,282.6102,37.01
drone_2,2500,-0.0181,0.0158,0.7351,5.2389,38.44,0.9875,0,80,http://internal-drone-net/cam/drone_2/frame_00002500.jpg,112.6685,283.3322,38.44
drone_1,2600,0.0101,0.0337,0.6016,5.0338,26.93,0.9709,0,80,http://internal-drone-net/cam/drone_1/frame_00002600.jpg,112.2166,282.912,26.93
drone_2,2600,0.0075,-0.0261,0.6963,5.0798,27.38,0.9841,0,80,http://internal-drone-net/cam/drone_2/frame_00002600.jpg,113.0476,283.6582,27.38
drone_1,2700,-0.0051,0.0287,0.595,4.8901,27.85,0.9789,0,80,http://internal-drone-net/cam/drone_1/frame_00002700.jpg,112.6152,283.2139,27.85
drone_2,2700,-0.0407,0.0039,0.979,5.2766,23.78,0.9963,0,80,http://internal-drone-net/cam/drone_2/frame_00002700.jpg,113.4132,284.1433,23.78
drone_1,2800,0.006,0.0141,0.9062,4.9523,35.43,0.9669,0,80,http://internal-drone-net/cam/drone_1/frame_00002800.jpg,113.0103,283.6753,35.43
drone_2,2800,0.0014,0.0131,0.983,4.8581,24.36,0.9969,0,80,http://internal-drone-net/cam/drone_2/frame_00002800.jpg,113.6951,284.5563,24.36
drone_1,2900,0.021,-0.0112,0.9481,5.18,32.99,0.9629,0,80,http://internal-drone-net/cam/drone_1/frame_00002900.jpg,113.3172,284.07,32.99
drone_2,2900,-0.0153,-0.0124,1.0385,4.8873,28.68,0.9798,0,80,http://internal-drone-net/cam/drone_2/frame_00002900.jpg,113.9769,284.9693,28.68
drone_1,3000,-0.0013,0.0126,0.8579,4.8824,30.02,0.9663,0,80,http://internal-drone-net/cam/drone_1/frame_00003000.jpg,113.6241,284.4647,30.02
drone_2,3000,-0.007,0.0154,0.9627,5.094,35.42,0.9831,0,80,http://internal-drone-net/cam/drone_2/frame_00003000.jpg,114.2587,285.3823,35.42
drone_1,3100,0.0152,0.024,0.9088,5.2933,35.54,0.9877,0,80,http://internal-drone-net/cam/drone_1/frame_00003100.jpg,113.931,284.8595,35.54
drone_2,3100,0.0207,-0.005,0.9515,4.963,31.54,0.9775,0,80,http://internal-drone-net/cam/drone_2/frame_00003100.jpg,114.5405,285.7953,31.54
drone_1,3200,0.0041,-0.0133,0.8792,4.9409,28.82,0.9649,0,80,http://internal-drone-net/cam/drone_1/frame_00003200.jpg,114.2379,285.2542,28.82
drone_2,3200,0.0102,-0.0083,1.2442,5.1627,27.77,0.9724,0,80,http://internal-drone-net/cam/drone_2/frame_00003200.jpg,114.7682,286.3584,27.77
drone_1,3300,-0.0071,0.0576,1.1827,4.7968,29.52,0.9817,0,80,http://internal-drone-net/cam/drone_1/frame_00003300.jpg,114.5001,285.8021,29.52
drone_2,3300,0.0065,-0.0104,1.2537,5.1427,29.61,0.961,0,80,http://internal-drone-net/cam/drone_2/frame_00003300.jpg,114.9335,286.8303,29.61
drone_1,3400,-0.0037,-0.0041,1.1651,4.9464,30.13,0.973,0,80,http://internal-drone-net/cam/drone_1/frame_00003400.jpg,114.6944,286.2628,30.13
drone_2,3400,-0.0211,-0.0165,1.2227,4.9897,38.44,0.9902,0,80,http://internal-drone-net/cam/drone_2/frame_00003400.jpg,115.0988,287.3022,38.44
drone_1,3500,0.0122,0.0078,1.2294,4.8193,32.14,0.9901,0,80,http://internal-drone-net/cam/drone_1/frame_00003500.jpg,114.8887,286.7235,32.14
drone_2,3500,-0.0137,0.0067,1.2087,5.2485,32.19,0.9628,0,80,http://internal-drone-net/cam/drone_2/frame_00003500.jpg,115.2642,287.7741,32.19
drone_1,3600,-0.017,-0.0239,1.1997,4.7816,34.86,0.9708,0,80,http://internal-drone-net/cam/drone_1/frame_00003600.jpg,115.083,287.1842,34.86
drone_2,3600,0.0226,-0.0005,1.1753,4.9981,34.7,0.9892,0,80,http://internal-drone-net/cam/drone_2/frame_00003600.jpg,115.4295,288.2459,34.7
drone_1,3700,0.0019,-0.0097,1.1732,4.8048,34.24,0.9656,0,80,http://internal-drone-net/cam/drone_1/frame_00003700.jpg,115.2773,287.6449,34.24
drone_2,3700,0.0073,0.0155,1.4501,5.1628,35.1,0.9647,0,80,http://internal-drone-net/cam/drone_2/frame_00003700.jpg,115.5036,288.8488,35.1
drone_1,3800,0.0066,0.0042,1.4735,5.0032,35.07,0.976,0,80,http://internal-drone-net/cam/drone_1/frame_00003800.jpg,115.3886,288.2421,35.07
drone_2,3800,-0.0088,0.0051,1.486,5.1497,25.64,0.9718,0,80,http://internal-drone-net/cam/drone_2/frame_00003800.jpg,115.5412,289.3474,25.64
drone_1,3900,0.0187,0.0219,1.4145,5.1527,38.24,0.9672,0,80,http://internal-drone-net/cam/drone_1/frame_00003900.jpg,115.4571,288.7374,38.24
drone_2,3900,-0.0368,-0.0146,1.4832,4.9847,31.8,0.9693,0,80,http://internal-drone-net/cam/drone_2/frame_00003900.jpg,115.5788,289.846,31.8
drone_1,4000,-0.0213,-0.0303,1.4585,5.0444,33.13,0.9772,0,80,http://internal-drone-net/cam/drone_1/frame_00004000.jpg,115.5255,289.2327,33.13
drone_2,4000,-0.0107,0.0067,1.5414,4.9237,25.15,0.9662,0,80,http://internal-drone-net/cam/drone_2/frame_00004000.jpg,115.6163,290.3446,25.15
drone_1,4100,-0.0201,0.0006,1.4756,5.0487,25.4,0.9814,0,80,http://internal-drone-net/cam/drone_1/frame_00004100.jpg,115.594,289.728,25.4
drone_2,4100,0.0261,-0.02,1.539,5.1491,37.6,0.9674,0,80,http://internal-drone-net/cam/drone_2/frame_00004100.jpg,115.6539,290.8432,37.6
drone_1,4200,-0.0129,-0.0199,1.4431,4.9067,24.07,0.9918,0,80,http://internal-drone-net/cam/drone_1/frame_00004200.jpg,115.6624,290.2233,24.07
drone_2,4200,-0.028,-0.0101,1.7293,5.1384,27.11,0.9978,0,80,http://internal-drone-net/cam/drone_2/frame_00004200.jpg,115.5695,291.4447,27.11
drone_1,4300,0.0167,-0.0177,1.674,5.0716,40.07,0.9852,0,80,http://internal-drone-net/cam/drone_1/frame_00004300.jpg,115.6154,290.8289,40.07
drone_2,4300,0.0179,-0.0261,1.7273,5.3664,30.76,0.9933,0,80,http://internal-drone-net/cam/drone_2/frame_00004300.jpg,115.4767,291.936,30.76
drone_1,4400,0.0026,-0.028,1.7105,5.0402,29.85,0.9769,0,80,http://internal-drone-net/cam/drone_1/frame_00004400.jpg,115.5533,291.325,29.85
drone_2,4400,0.0473,-0.0372,1.7701,5.0241,28.77,0.9794,0,80,http://internal-drone-net/cam/drone_2/frame_00004400.jpg,115.384,292.4274,28.77
drone_1,4500,-0.0126,-0.004,1.7255,5.3153,33.02,0.9827,0,80,http://internal-drone-net/cam/drone_1/frame_00004500.jpg,115.4913,291.8211,33.02
drone_2,4500,0.0081,-0.0013,1.7224,5.1262,30.88,0.9923,0,80,http://internal-drone-net/cam/drone_2/frame_00004500.jpg,115.2912,292.9187,30.88
drone_1,4600,-0.0224,0.0223,1.7069,5.0103,34.89,0.9705,0,80,http://internal-drone-net/cam/drone_1/frame_00004600.jpg,115.4292,292.3173,34.89
drone_2,4600,-0.0033,-0.014,1.7294,4.6203,31.76,0.9945,0,80,http://internal-drone-net/cam/drone_2/frame_00004600.jpg,115.1985,293.41,31.76
drone_1,4700,-0.0088,-0.0248,1.6989,4.8144,34.13,0.9849,0,80,http://internal-drone-net/cam/drone_1/frame_00004700.jpg,115.3671,292.8134,34.13
drone_2,4700,0.0071,0.0037,2.0237,5.2303,30.79,0.994,0,80,http://internal-drone-net/cam/drone_2/frame_00004700.jpg,114.9612,293.9692,30.79
drone_1,4800,0.0132,0.0367,1.9724,4.8194,34.41,0.9636,0,80,http://internal-drone-net/cam/drone_1/frame_00004800.jpg,115.165,293.3862,34.41
drone_2,4800,0.0082,-0.0117,2.0681,4.975,35.42,0.9678,0,80,http://internal-drone-net/cam/drone_2/frame_00004800.jpg,114.7444,294.4198,35.42
drone_1,4900,-0.0085,-0.0045,1.9522,5.0008,26.4,0.9939,0,80,http://internal-drone-net/cam/drone_1/frame_00004900.jpg,114.9766,293.8494,26.4
drone_2,4900,-0.04,-0.0087,2.0047,4.7911,30.47,0.9886,0,80,http://internal-drone-net/cam/drone_2/frame_00004900.jpg,114.5277,294.8703,30.47
drone_1,5000,0.0246,-0.0105,1.978,4.9394,34.15,0.9932,0,80,http://internal-drone-net/cam/drone_1/frame_00005000.jpg,114.7882,294.3125,34.15
drone_2,5000,-0.0144,0.0328,1.9885,5.108,25.14,0.9953,0,80,http://internal-drone-net/cam/drone_2/frame_00005000.jpg,114.3109,295.3209,25.14
drone_1,5100,0.04,0.0094,1.9089,4.7902,32.48,0.9713,0,80,http://internal-drone-net/cam/drone_1/frame_00005100.jpg,114.5998,294.7757,32.48
drone_2,5100,0.0167,0.0048,2.0529,5.1404,38.46,0.9969,0,80,http://internal-drone-net/cam/drone_2/frame_00005100.jpg,114.0942,295.7715,38.46
drone_1,5200,0.0214,0.0367,1.9715,4.9665,38.35,0.9841,0,80,http://internal-drone-net/cam/drone_1/frame_00005200.jpg,114.4115,295.2388,38.35
drone_2,5200,0.0139,-0.0208,2.2434,4.8343,25.54,0.9896,0,80,http://internal-drone-net/cam/drone_2/frame_00005200.jpg,113.7203,296.2502,25.54
drone_1,5300,0.0093,-0.0039,2.2396,4.7712,39.33,0.9717,0,80,http://internal-drone-net/cam/drone_1/frame_00005300.jpg,114.068,295.7398,39.33
drone_2,5300,-0.0013,0.0188,2.2854,5.0551,37.92,0.9712,0,80,http://internal-drone-net/cam/drone_2/frame_00005300.jpg,113.3943,296.6293,37.92
drone_1,5400,0.0222,-0.0145,2.2013,4.8374,37.81,0.988,0,80,http://internal-drone-net/cam/drone_1/frame_00005400.jpg,113.7662,296.1385,37.81
drone_2,5400,-0.0033,-0.0086,2.2404,4.9427,25.94,0.9971,0,80,http://internal-drone-net/cam/drone_2/frame_00005400.jpg,113.0683,297.0084,25.94
drone_1,5500,0.026,-0.0258,2.1967,5.1593,26.25,0.9659,0,80,http://internal-drone-net/cam/drone_1/frame_00005500.jpg,113.4643,296.5371,26.25
drone_2,5500,-0.0241,-0.0009,2.3021,5.0676,34.01,0.9741,0,80,http://internal-drone-net/cam/drone_2/frame_00005500.jpg,112.7423,297.3876,34.01
drone_1,5600,0.0391,-0.0188,2.1913,5.0453,26.8,0.9851,0,80,http://internal-drone-net/cam/drone_1/frame_00005600.jpg,113.1625,296.9357,26.8
drone_2,5600,-0.0307,0.0118,2.3062,5.0795,27.51,0.9884,0,80,http://internal-drone-net/cam/drone_2/frame_00005600.jpg,112.4163,297.7667,27.51
drone_1,5700,-0.0076,0.0001,2.2093,4.9525,29.04,0.9606,0,80,http://internal-drone-net/cam/drone_1/frame_00005700.jpg,112.8607,297.3343,29.04
drone_2,5700,-0.0124,0.0091,2.5429,4.9315,30.47,0.9635,0,80,http://internal-drone-net/cam/drone_2/frame_00005700.jpg,111.9313,298.1323,30.47
drone_1,5800,0.0065,0.0169,2.5101,4.9369,34.39,0.9952,0,80,http://internal-drone-net/cam/drone_1/frame_00005800.jpg,112.3992,297.7293,34.39
drone_2,5800,-0.0082,0.0107,2.5729,4.8664,27.7,0.9956,0,80,http://internal-drone-net/cam/drone_2/frame_00005800.jpg,111.5183,298.4141,27.7
drone_1,5900,-0.0153,-0.0148,2.4434,5.0208,28.7,0.9837,0,80,http://internal-drone-net/cam/drone_1/frame_00005900.jpg,112.0045,298.0363,28.7
drone_2,5900,0.0126,0.029,2.5525,4.9107,39.75,0.974,0,80,http://internal-drone-net/cam/drone_2/frame_00005900.jpg,111.1053,298.696,39.75
drone_1,6000,0.0224,-0.0133,2.4701,5.0401,35.64,0.968,0,80,http://internal-drone-net/cam/drone_1/frame_00006000.jpg,111.6098,298.3432,35.64
drone_2,6000,-0.008,0.0302,2.5458,5.006,32.74,0.963,0,80,http://internal-drone-net/cam/drone_2/frame_00006000.jpg,110.6922,298.9778,32.74
drone_1,6100,0.0081,0.0244,2.5024,4.7769,39.65,0.9766,0,80,http://internal-drone-net/cam/drone_1/frame_00006100.jpg,111.2151,298.6501,39.65
drone_2,6100,0.0158,0.0032,2.4965,5.0942,35.82,0.9745,0,80,http://internal-drone-net/cam/drone_2/frame_00006100.jpg,110.2792,299.2596,35.82
drone_1,6200,-0.0103,-0.0082,2.4415,5.1788,33.64,0.9713,0,80,http://internal-drone-net/cam/drone_1/frame_00006200.jpg,110.8204,298.957,33.64
drone_2,6200,0.05,0.0222,2.7796,4.741,27.13,0.9744,0,80,http://internal-drone-net/cam/drone_2/frame_00006200.jpg,109.7161,299.4873,27.13
drone_1,6300,0.0147,0.0047,2.7713,4.7575,40.38,0.9933,0,80,http://internal-drone-net/cam/drone_1/frame_00006300.jpg,110.2724,299.2191,40.38
drone_2,6300,0.0158,-0.0272,2.8224,5.2256,26.17,0.9967,0,80,http://internal-drone-net/cam/drone_2/frame_00006300.jpg,109.2442,299.6526,26.17
drone_1,6400,-0.0061,-0.0015,2.7582,5.135,37.35,0.9849,0,80,http://internal-drone-net/cam/drone_1/frame_00006400.jpg,109.8117,299.4134,37.35
drone_2,6400,0.0107,0.0026,2.7788,5.04,28.63,0.9926,0,80,http://internal-drone-net/cam/drone_2/frame_00006400.jpg,108.7723,299.8179,28.63
drone_1,6500,0.0357,-0.0014,2.73,4.907,30.18,0.986,0,80,http://internal-drone-net/cam/drone_1/frame_00006500.jpg,109.351,299.6077,30.18
drone_2,6500,-0.0273,0.0125,2.8265,4.7771,40.82,0.9953,0,80,http://internal-drone-net/cam/drone_2/frame_00006500.jpg,108.3005,299.9833,40.82
drone_1,6600,0.004,0.019,2.7285,5.0781,32.93,0.9672,0,80,http://internal-drone-net/cam/drone_1/frame_00006600.jpg,108.8903,299.802,32.93
drone_2,6600,0.0105,0.007,2.8238,4.8991,41.0,0.99,0,80,http://internal-drone-net/cam/drone_2/frame_00006600.jpg,107.8286,300.1486,41.0
drone_1,6700,-0.001,0.0094,2.7535,4.8479,33.17,0.9686,0,80,http://internal-drone-net/cam/drone_1/frame_00006700.jpg,108.4296,299.9963,33.17
drone_2,6700,0.0081,-0.0169,3.0767,5.0883,36.09,0.9833,0,80,http://internal-drone-net/cam/drone_2/frame_00006700.jpg,107.2257,300.2227,36.09
drone_1,6800,-0.0183,-0.0193,3.0292,4.8721,27.15,0.9681,0,80,http://internal-drone-net/cam/drone_1/frame_00006800.jpg,107.8324,300.1077,27.15
drone_2,6800,0.0084,0.0285,3.0709,4.8009,32.04,0.9865,0,80,http://internal-drone-net/cam/drone_2/frame_00006800.jpg,106.7271,300.2603,32.04
drone_1,6900,0.0299,0.0245,3.031,4.8541,31.95,0.9758,0,80,http://internal-drone-net/cam/drone_1/frame_00006900.jpg,107.3372,300.1762,31.95
drone_2,6900,0.0065,-0.0191,3.0458,5.1429,29.52,0.9729,0,80,http://internal-drone-net/cam/drone_2/frame_00006900.jpg,106.2285,300.2979,29.52
drone_1,7000,0.0331,0.0009,2.9581,5.25,28.42,0.9695,0,80,http://internal-drone-net/cam/drone_1/frame_00007000.jpg,106.8419,300.2446,28.42
drone_2,7000,0.0008,-0.0067,3.072,5.3227,35.76,0.9723,0,80,http://internal-drone-net/cam/drone_2/frame_00007000.jpg,105.7299,300.3354,35.76
drone_1,7100,-0.0005,-0.0036,3.0483,5.1627,39.03,0.983,0,80,http://internal-drone-net/cam/drone_1/frame_00007100.jpg,106.3466,300.313,39.03
drone_2,7100,-0.0306,-0.0319,3.0579,5.0558,35.94,0.9748,0,80,http://internal-drone-net/cam/drone_2/frame_00007100.jpg,105.2313,300.373,35.94
drone_1,7200,0.0136,0.0439,3.0066,4.9082,32.48,0.9869,0,80,http://internal-drone-net/cam/drone_1/frame_00007200.jpg,105.8513,300.3815,32.48
drone_2,7200,-0.0152,-0.0199,-2.9535,5.0311,30.16,0.9935,0,80,http://internal-drone-net/cam/drone_2/frame_00007200.jpg,104.6298,300.2886,30.16
drone_1,7300,-0.032,-0.0114,-3.0703,5.0501,27.19,0.9625,0,80,http://internal-drone-net/cam/drone_1/frame_00007300.jpg,105.2457,300.3345,27.19
drone_2,7300,0.004,-0.0042,-2.9607,4.9848,30.93,0.9794,0,80,http://internal-drone-net/cam/drone_2/frame_00007300.jpg,104.1385,300.1958,30.93
drone_1,7400,-0.0164,0.0276,-2.9806,5.156,26.76,0.9793,0,80,http://internal-drone-net/cam/drone_1/frame_00007400.jpg,104.7495,300.2724,26.76
drone_2,7400,-0.0238,-0.0505,-2.9765,5.1463,39.13,0.9704,0,80,http://internal-drone-net/cam/drone_2/frame_00007400.jpg,103.6472,300.103,39.13
drone_1,7500,0.0076,-0.0057,-3.085,4.9889,27.54,0.9846,0,80,http://internal-drone-net/cam/drone_1/frame_00007500.jpg,104.2534,300.2103,27.54
drone_2,7500,-0.0154,-0.0249,-2.9327,4.9485,29.81,0.9895,0,80,http://internal-drone-net/cam/drone_2/frame_00007500.jpg,103.1558,300.0103,29.81
drone_1,7600,0.0207,-0.0062,-3.0337,5.3071,37.56,0.9845,0,80,http://internal-drone-net/cam/drone_1/frame_00007600.jpg,103.7573,300.1483,37.56
drone_2,7600,0.0123,0.0254,-2.9765,4.9988,36.6,0.9647,0,80,http://internal-drone-net/cam/drone_2/frame_00007600.jpg,102.6645,299.9175,36.6
drone_1,7700,-0.0128,0.0303,-3.0148,4.9865,34.39,0.9777,0,80,http://internal-drone-net/cam/drone_1/frame_00007700.jpg,103.2611,300.0862,34.39
drone_2,7700,-0.0083,0.0233,-2.6543,5.0185,33.4,0.9967,0,80,http://internal-drone-net/cam/drone_2/frame_00007700.jpg,102.1053,299.6803,33.4
drone_1,7800,0.024,-0.0163,-2.7562,4.9318,27.55,0.9977,0,80,http://internal-drone-net/cam/drone_1/frame_00007800.jpg,102.6883,299.8841,27.55
drone_2,7800,0.0277,-0.0076,-2.6402,4.9679,36.39,0.9925,0,80,http://internal-drone-net/cam/drone_2/frame_00007800.jpg,101.6548,299.4635,36.39
drone_1,7900,-0.0453,0.0104,-2.7373,5.0319,26.46,0.9625,0,80,http://internal-drone-net/cam/drone_1/frame_00007900.jpg,102.2252,299.6957,26.46
drone_2,7900,0.025,0.0069,-2.7239,5.0062,28.98,0.9977,0,80,http://internal-drone-net/cam/drone_2/frame_00007900.jpg,101.2042,299.2468,28.98
drone_1,8000,-0.0146,0.012,-2.768,4.8819,37.05,0.9744,0,80,http://internal-drone-net/cam/drone_1/frame_00008000.jpg,101.762,299.5073,37.05
drone_2,8000,0.0115,-0.03,-2.7346,5.0704,33.09,0.9721,0,80,http://internal-drone-net/cam/drone_2/frame_00008000.jpg,100.7536,299.03,33.09
drone_1,8100,0.0132,0.0041,-2.7689,5.1555,28.31,0.9773,0,80,http://internal-drone-net/cam/drone_1/frame_00008100.jpg,101.2988,299.3189,28.31
